trip_id,0
1122334,"['1032613' '1064441' '1070710' '109970' '1121417' '1150018' '1155136'
 '1187218' '1237698' '1238890' '1304652' '1314550' '1339265' '1345693'
 '1352277' '139561' '1398025' '1445429' '1457497' '1459218' '1501776'
 '1526107' '1543227' '176404' '213528' '283587' '349729']"
1090401,['1582801']
59609802_2.025757,
1428256,
59609802_1.025927,
1465404,"['1096752' '1116238' '1288959' '1345696' '1350418' '1447604' '1457497'
 '1490422' '1544345' '213528' '218819' '310430']"
1017673,"['1044913' '108661' '1104933' '1138294' '1143396' '114398' '1154137'
 '1182361' '1207384' '1308823' '1328803' '1378626' '1413121' '1422855'
 '1423078' '1424400' '1450028' '1452413' '1470392' '1530605' '1547905'
 '1556707' '1558992' '1569582' '1582664' '1587192' '313314']"
1504232,['1091082' '1153838' '1196389' '149458' '173698' '198581' '339148']
1382515,
59609802_1.026238,
1333155,['1170428' '1340703' '1458632' '152911' '1542615']
1343659,"['1064030' '106939' '1118836' '1241191' '129043' '1378833' '145177'
 '1515146' '1526480' '180236']"
59609802_1.025995,['59609802_1.024889']
1295951,['1014591' '1259319' '309052']
156714,
59609802_2.027971,
29550387#1_1.026479,
1223919,
444834,"['1019136' '1023079' '1058242' '1062964' '1070400' '1095668' '1107968'
 '1115052' '1189314' '1206377' '1236035' '1300065' '1307655' '1310680'
 '1319152' '1326360' '1370044' '1374901' '1378697' '1395951' '1429978'
 '1431146' '1474516' '1506399' '1510724' '1519934' '1574544' '19697'
 '242623' '383453']"
182146,
1126375,['1046328' '1438650' '238554']
59609802_2.026202,
1402042,['1435941']
179868,['1072422' '252805' '408196']
216369,"['1056876' '1067540' '1120107' '1140011' '1155753' '1297330' '1355252'
 '1426840' '1501607' '151867' '1529939' '183272']"
1090390,
1406650,['1140406' '1516775']
1231818,"['1032271' '1069971' '1128509' '1160475' '1341521' '1466985' '1486315'
 '192072']"
1377863,
1560499,['146295' '1519777' '1567595']
1074068,
1482824,['1262250' '1512772']
1047411,
180683,"['1110789' '1192635' '1208949' '1217298' '1225610' '1243560' '128930'
 '132225' '1453974' '1457661' '1483197' '1512401' '1543283' '161735'
 '180141' '196547' '21089']"
24491335#2_1.029191,
29550387#1_1.029759,['29550387#1_2.025840']
243490,"['1038527' '1045267' '1073344' '1154768' '1224885' '1393' '1493615'
 '1555561' '1571713']"
1139343,['1464757']
1130514,
245633,"['1006211' '100740' '1026904' '1041227' '1064370' '1065469' '107917'
 '1090062' '1155531' '1158402' '121226' '1226667' '1238556' '1319238'
 '134163' '135040' '1358100' '1413519' '142488' '1458218' '1520049'
 '1588648' '172779' '178417' '200019']"
1191335,['1251379' '1473566']
1590203,
1540509,
207988,['1262878' '1282583' '1288601' '1433270']
327611,['1468247']
202052,"['1048593' '1255276' '1311446' '1348655' '1452713' '145473' '1524774'
 '197503' '364149']"
1512886,"['1022039' '1034296' '1065815' '1084455' '1099779' '1135477' '1139890'
 '1220045' '1224313' '1281035' '1296659' '1303051' '131021' '1311007'
 '133552' '1336489' '134411' '1350342' '1371086' '1392633' '1400470'
 '1419326' '143269' '1434017' '1438809' '1450627' '146965' '1479677'
 '1506889' '151094' '1527464' '1532892' '1535002' '1535391' '1541478'
 '174358' '188709' '216400' '334563' '346965' '404317']"
194490,['1587285']
1344651,['1363137']
1444512,"['1038413' '1066783' '1095668' '1298865' '1319152' '1401586' '248762'
 '260148' '383453' '439306']"
173965,['1023460']
1487245,"['100194' '1004274' '1007077' '1032550' '1043131' '1075448' '1191675'
 '1290989' '1321091' '1372896' '1405004' '1436777' '1553630' '183409'
 '264625']"
1280577,['1084751' '1278251']
1004510,
1226731,"['1105074' '1164332' '1177452' '1367487' '1392459' '1434211' '1442280'
 '217201']"
1500248,['1032533' '1189771' '1244492' '51825']
1405290,"['1021394' '1130035' '1190489' '1343694' '1464755' '1477597' '150482'
 '1551854' '285135' '291280' '348862']"
1464580,"['1080597' '1111435' '1177915' '1232624' '1254114' '1454137' '1580183'
 '310608' '315641']"
1334813,
1247899,['1492735']
1367834,['1061780']
294022,"['1066112' '1067612' '1149222' '1155136' '1187218' '1253692' '1311684'
 '1314550' '1315645' '1339265' '139561' '1399001' '1406521' '1407277'
 '1447461' '145452' '1456411' '1487503' '1508367' '1536269' '160607'
 '2632' '283587' '338707' '349729' '358828' '38858']"
1377384,['1107415' '1196389' '198581']
1296497,"['1015482' '1081115' '1089107' '1143396' '1174740' '1228699' '1327357'
 '1330520' '1372774' '1409873' '1473968' '157321' '17122' '33421' '354555'
 '418149']"
1032635,
29550387#1_1.028320,
1084929,['247620']
1230161,['1340123' '134727' '1382227' '1559229' '179561']
402053,"['1064030' '1065351' '1241191' '129043' '1313292' '1324292' '287757'
 '309675']"
1109686,
13599,['1106750' '1393659' '217708']
226282,
1064623,"['103211' '1153565' '1201033' '1234745' '1285702' '179258' '203276'
 '206992' '242623' '333970']"
2801,
100547,['1019800' '1067027' '1243501' '1282871']
329389,"['1090225' '1141472' '1154584' '117931' '1423249' '1524517' '154743'
 '18110' '184348']"
1244858,"['1095223' '1101367' '1102876' '1122070' '1184965' '1191365' '1245228'
 '1292038' '1366337' '1388948' '1425253' '143021' '1469371' '151867'
 '1529939' '171671' '20361' '216631' '245044' '25590' '29827' '377917']"
1096701,['1363118']
1440835,
1267404,
1270629,
1457967,['1051684' '120605' '1227992' '141922']
1309245,['213909']
